name,category,purpose,price_model,stars,verified,url
Neo4j Aura MCP,AI-MODELS,Graph-database memory that persists across MCP clients,FREE-TIER+ADDON,1000,false,https://github.com/neo4j-contrib/mcp-neo4j
Pieces MCP Server,AI-MODELS,"Shared memory across Claude, Gemini AI Studio, Perplexity and Cursor",FREE-TIER+ADDON,500,false,https://github.com/pieces-app/pieces-mcp-server
Sequential Thinking MCP,AI-MODELS,Forces structured chain-of-thought reasoning in any LLM client,FREE,38000,false,https://github.com/modelcontextprotocol/servers/tree/main/src/sequentialthinking
groq-mcp,AI-MODELS,Run GroqCloud Llama/Whisper models with tool use from MCP clients,FREE-TIER+ADDON,43,true,https://github.com/groq/groq-mcp-server
hf-mcp,AI-MODELS,"Hugging Face models, datasets, Spaces and Inference API via MCP",FREE-TIER+ADDON,272,true,https://github.com/huggingface/hf-mcp-server
huggingface-mcp,AI-MODELS,"Search models, datasets, Spaces and papers on the HF Hub",FREE-TIER+ADDON,2200,false,https://github.com/huggingface/mcp-hub
lmstudio-mcp,AI-MODELS,Use local LM Studio models (any GGUF) as an MCP tool backend,FREE,168,true,https://github.com/infinitimeless/LMStudio-MCP
ollama-mcp,AI-MODELS,"Talk to local Ollama models (Llama, Qwen, Mistral) via MCP",FREE,170,true,https://github.com/rawveg/ollama-mcp
openai-mcp-server,AI-MODELS,"Query OpenAI models (GPT-5.x, o-series) from any MCP client",FREE-TIER+ADDON,,true,https://github.com/cjinghong/openai-mcp-server
perplexity-mcp,AI-MODELS,"Official Perplexity API platform access: sonar models, web search, citations",FREE-TIER+ADDON,2442,true,https://github.com/perplexityai/modelcontextprotocol
Browser MCP (BrowserBase),BROWSER-AUTOMATION,Let the AI drive your own real Chrome browser via extension + local server,FREE,6900,true,https://github.com/browsermcp/mcp
Browser Tools MCP,BROWSER-AUTOMATION,Real-time Chrome DevTools console access for debugging web builds,FREE,10000,false,https://github.com/AgentDeskAI/browser-tools-mcp
Chrome DevTools MCP,BROWSER-AUTOMATION,"Debug a live browser session: network, performance traces, elements (reuses your logged-in session)",FREE,15000,false,https://github.com/ChromeDevTools/chrome-devtools-mcp
ExecuteAutomation Playwright MCP,BROWSER-AUTOMATION,"Playwright MCP fork with AI-powered selector strategies (XPath, AI locators)",FREE,5600,false,https://github.com/executeautomation/mcp-playwright
Playwright MCP,BROWSER-AUTOMATION,"Let the agent drive a real browser: navigate, screenshot, click, test UI",FREE,35997,true,https://github.com/microsoft/playwright-mcp
Playwright MCP (Microsoft),BROWSER-AUTOMATION,Browser automation and web testing via Playwright's accessibility tree,FREE,36000,true,https://github.com/microsoft/playwright-mcp
Selenium MCP,BROWSER-AUTOMATION,Control browsers through Selenium WebDriver for automation and QA,FREE,3,false,https://github.com/nayakprashant/selenium-mcp-server
Stagehand MCP (Browserbase),BROWSER-AUTOMATION,Natural-language browser automation framework (act/extract/observe) exposed over MCP,FREE-TIER+ADDON,24000,false,https://github.com/browserbase/stagehand
bb-browser,BROWSER-AUTOMATION,Browser-as-API control,FREE,6046,true,https://github.com/epiral/bb-browser
browser-use-mcp,BROWSER-AUTOMATION,LLM-driven browser agent: plan + execute multi-step web tasks,FREE,108796,true,https://github.com/browser-use/browser-use
browserbase,BROWSER-AUTOMATION,Cloud browser automation platform,FREE-TIER+ADDON,3400,true,https://github.com/browserbase/mcp-server-browserbase
browserbase-mcp,BROWSER-AUTOMATION,Cloud browser control,FREE-TIER+ADDON,3413,true,https://github.com/browserbase/mcp-server-browserbase
browsermcp,BROWSER-AUTOMATION,Real-browser stealth automation,FREE,6947,true,https://github.com/BrowserMCP/mcp
cbrowser,BROWSER-AUTOMATION,Cognitive browser automation,FREE,19566,true,https://cbrowser.run.tools
executeautomation-playwright,BROWSER-AUTOMATION,Playwright browser tools,FREE,5633,true,https://github.com/executeautomation/mcp-playwright
mcp-chrome,BROWSER-AUTOMATION,Chrome extension control,FREE,12284,true,https://github.com/hangwin/mcp-chrome
playwright,BROWSER-AUTOMATION,Browser automation and web scraping,FREE,36000,true,https://github.com/microsoft/playwright-mcp
puppeteer (archived reference),BROWSER-AUTOMATION,Headless Chrome browser automation,FREE,,true,https://github.com/modelcontextprotocol/servers-archived/tree/main/src/puppeteer
puppeteer-mcp,BROWSER-AUTOMATION,Headless Chrome automation via Puppeteer,FREE,89443,true,https://github.com/modelcontextprotocol/servers/tree/main/src/puppeteer
